"","f1","f2","f3","f4","f5","f6","f7","f8","f9","f10","f11","f12","f13","f14","f15","f16","f17","f18","f19","f20","f21","f22","f23","f24","f25","f26","f27","f28","f29","f30","f31","f32","f33","f34","f35","f36","f37","f38","f39","f40","f41","f42","f43","f44","f45","f46","f47","f48"
"N099587",616.040369486614,547.692937380136,502.687289712186,469.849233957136,449.033108280353,436.287551266487,436.191030768673,448.290249674193,461.865438808501,501.696546144601,561.689999332425,632.921356865169,704.908066532493,765.317660011424,810.480431933843,840.631336577968,855.352023947563,859.550997928962,858.081935787916,845.888335298313,818.555429518618,781.038723645405,762.812244941902,713.093457273186,647.901797025434,580.577812567572,534.138886916688,499.135798152072,476.034301730255,461.100905063831,458.976960849168,469.232266234118,481.147998021038,519.471898528242,578.140108124445,648.222487639369,719.212824568117,778.746004231479,823.111741724752,852.517951119103,866.532353307796,870.052676125765,867.933660768465,855.126125039751,827.205976792664,789.113129324188,770.318084377164,720.099935772978
"N099588",2787.07733711876,2445.56761304417,2195.49927984056,2028.57879362792,1902.49725719676,1831.37768138083,1824.2931916378,1872.28372561888,1976.0121280321,2146.12061123128,2341.47968688966,2555.46261665086,2771.97414259808,2980.33022151961,3146.51049462069,3299.00177781564,3405.1426744106,3486.13660613651,3526.11446036213,3546.70824476727,3498.07851996382,3340.13823689646,3168.32866674251,3042.90714899569,2759.60470556091,2439.18770459862,2196.34919133119,2027.90869834548,1910.16225853081,1836.59937088496,1819.02000416347,1873.33360020583,1962.0514227877,2126.62537096704,2326.40730523475,2541.30725697014,2754.54325916819,2958.36423247,3125.20732533914,3275.0099759346,3376.62660745296,3461.15823038725,3513.72787921956,3544.13690710865,3499.85615324534,3354.05210047756,3202.32858609354,3089.00409625596
"N099589",1478.38712326733,1439.54273772361,1325.40090047766,1199.61589631766,1100.65595984996,1039.84594097708,998.994086964141,974.591234278473,981.037947860184,1008.24611343586,1075.4380702344,1153.00596348826,1214.49346794281,1262.03546775564,1296.85337265686,1324.82684953598,1349.97508985653,1364.53893638456,1376.41928725718,1385.79733504316,1400.74723150246,1396.01974576688,1376.53163695465,1331.1534886161,1296.64243961331,1265.47836373838,1160.94622985352,1045.65247168629,957.352926636082,906.97480659905,876.23308483824,861.485950485119,876.923107194703,912.464202754758,987.155157249293,1071.59012286762,1139.50647491492,1193.0350615869,1233.40823115719,1266.48816893546,1296.29372660379,1315.15306832004,1330.94060479458,1343.86737819873,1361.97905248326,1360.23961665221,1343.55672500243,1300.90738480369
"N099590",5446.01451845535,5204.06445925601,4832.55313514081,4468.31247157304,4174.40334282897,3942.8800781476,3765.47090612781,3652.2268938863,3624.03777809347,3642.00229247238,3708.98595472162,3893.03861187138,4121.03833232088,4368.69372051765,4661.54528435958,4934.87281196034,5166.38497961352,5418.12392599585,5642.71435260241,5825.83349856904,5934.24923042579,5922.90877676532,5754.31504188511,5563.45386212908,5419.96171865795,5120.03271999,4721.30431212503,4346.50894359473,4050.93403330273,3822.36833927272,3650.20115962018,3543.20339485289,3521.56906754361,3546.04432733851,3619.30666162924,3809.29484804803,4042.87420257943,4295.75278303285,4593.46950812303,4871.33892197727,5107.0938584809,5362.77503824364,5591.04109036657,5777.59169683874,5889.22224298195,5880.91002412062,5715.18432674418,5527.00157687169
"N099591",3859.23172332319,3611.34298018957,3233.10450386705,2875.87498092449,2600.78847639219,2385.91536602113,2229.79988806691,2118.44800072626,2070.99457025822,2084.7999811241,2102.85501638451,2184.04626171413,2277.44705517019,2418.63735235574,2598.0703714638,2802.9515519753,3039.53916888137,3298.76100323749,3538.37255557612,3730.20799484423,3859.49987071225,3916.8358423447,3823.62390924233,3630.73355563515,3424.29135317408,3218.50331238469,2893.68000063272,2589.93632010567,2363.92707522093,2187.04984579992,2060.2278384655,1973.39279758877,1946.42851065747,1972.21070128654,1996.14766456293,2079.65118982337,2169.74970792043,2298.96480546523,2459.97801281478,2636.90378232741,2840.07693416722,3063.81766078738,3278.59463911341,3460.38786739854,3594.7857936236,3654.13006008111,3559.97625122224,3367.72750900715
"N099592",5135.65314141343,5265.037818552,5539.44959342733,5838.22986754269,6101.2946844289,6296.2158297553,6455.18281213489,6574.10028795471,6702.8551579615,6799.15414094551,6876.0158412426,6932.21394140967,7006.72917866095,7058.5667081172,7008.66870367669,6869.8804518753,6706.07890524949,6600.5515900717,6214.34632825033,5750.49871483175,5398.46367436088,5174.74938765168,5035.22304718627,4961.83027952453,5000.67560694912,5135.1740937257,5416.30228656791,5722.46938299829,5993.06417948201,6195.36812389442,6361.41029196853,6487.02121615912,6622.05141630268,6724.2114013574,6806.52912467025,6867.79713628507,6947.01223072062,7003.20917934862,6957.36552686642,6822.34686508029,6662.04144094715,6559.7439034293,6176.57320774295,5715.55075875231,5366.11827441656,5144.79656509002,5007.47388205298,4936.11188009435
"N099593",49818.8559844833,48773.2702872338,46428.0864339962,42624.6335401296,39171.6808466644,36759.2995485369,35235.6065004935,34215.3099357774,33768.4961824861,34071.5564859845,34978.1099011175,36310.287261813,38231.2434667969,40245.3794835704,42219.2132689882,44423.1389496722,46363.136828985,48148.2076602712,50369.2101621612,52097.2487883831,53303.730863769,54024.727626821,53704.3564959937,52514.2617499966,51077.5302185382,50098.253399804,47941.309729878,44298.8093780502,40959.4963696782,38610.7894321763,37180.2729571243,36159.54459201,35731.3022847859,36022.9588459805,36883.2619588471,38178.7401641869,40029.8843082102,42000.950081621,43908.6386184852,45993.493858601,47832.3511305584,49506.1084561353,51577.2278688874,53249.6253540253,54445.8656425313,55182.0352977417,54924.8491152766,53738.1620602389
"N099594",29411.4422096016,26983.9838431527,25287.9274207695,24118.5613787343,23345.7496999618,23049.7664659146,23506.4889914966,24252.6688552328,25443.4753529659,27218.4220147511,29288.0855907462,31571.7259757798,33687.983913142,35415.37246591,36836.3164095567,37832.9199376023,38269.8392123357,38439.0919365658,38123.838343344,37182.2754595587,35710.8890978562,34393.7575134592,33308.7046303267,30899.404787019,28146.000380567,25865.2966878244,24252.8983469986,23139.9769346836,22411.4242119767,22153.8250385326,22645.7235611881,23425.0153806049,24647.3743882936,26452.5515113786,28551.2486853795,30862.8021656028,33005.9083962354,34759.1259096224,36204.9197370411,37225.4320601699,37685.3549654033,37876.7399498821,37582.7807124446,36661.7059539116,35210.0315884212,33911.864429305,32845.0573858404,30453.314131167
"N099595",35504.9541487878,32751.4722970312,30676.4275399369,29143.8373211167,27996.3275506253,27241.6322460201,26929.3442253979,27403.269087191,28224.7782298417,29415.2546627655,31193.9451393058,33180.4716810298,35228.6343239813,37242.243070524,39011.1624576072,40506.2440329499,41488.3987371576,42237.8614583221,42506.5646009543,42172.3392852561,41461.3972634898,40364.0392481947,38968.756641986,37988.8543139609,35682.8599961399,33102.0341469949,31098.8070400627,29617.2676284992,28515.7035781252,27789.9667662906,27512.1897996218,27960.627681064,28671.7797999287,29810.2512144676,31657.9774462876,33713.4526827061,35824.0378040014,37822.9275117197,39517.1721855183,40969.7434385002,41896.3434303478,42625.4822434952,42942.9889168059,42690.5434175722,41991.4234163482,40844.094372957,39409.9390554311,38442.1752265096
"N099596",465.519720366702,459.015273272304,446.780798016366,431.013906769037,418.376960199639,410.762436148224,406.250508804955,405.536720510301,404.917806753359,406.375123733958,420.030549488501,427.773238738923,435.155308561225,442.233470839527,450.352733067611,454.999236924461,457.08786109364,459.026368792062,460.197747286016,464.628397608155,465.490543700684,466.444095502466,462.241985194522,456.951183953677,449.272359614688,443.522803492272,432.052094969927,417.041445822729,405.103731795963,398.119507052443,394.186101508057,393.995909564107,393.875727071269,395.793127959121,409.795338386227,417.911964591228,425.652630291952,433.074365251059,441.512771402526,446.489015780782,448.910936904803,451.168249635423,452.649273549305,457.350582609435,458.497309878164,459.721505657785,455.816257722246,450.817198634626
