"","f1","f2","f3","f4","f5","f6","f7","f8","f9","f10","f11","f12","f13","f14","f15","f16","f17","f18","f19","f20","f21","f22","f23","f24","f25","f26","f27","f28","f29","f30","f31","f32","f33","f34","f35","f36","f37","f38","f39","f40","f41","f42","f43","f44","f45","f46","f47","f48"
"N099587",599.409612787332,519.0125329484,461.473334570429,418.694465613742,390.427275316689,371.957749456146,367.171311726201,375.730903332981,386.18161640921,423.766218534562,481.851240559169,551.816372197584,622.395325732875,681.949429229835,726.135217468008,755.727088627302,769.70568529689,773.558944481039,771.47368816526,758.640189132549,731.314217868166,693.88606287707,674.873393380169,624.942798057173,560.152083045034,492.474331249203,445.777128671997,410.419496882039,387.620399536845,372.287742288438,370.160433948399,380.711744511112,392.756472365188,430.273903701416,489.656439707276,559.389293450593,630.131008929563,689.307675937113,734.227680780816,764.008417690252,777.322276281374,780.856799581534,778.496399411982,766.023691770354,738.778274819159,700.019830454088,680.828397836313,630.817167912208
"N099588",2721.6130607291,2338.81086610546,2049.01197967221,1847.96152690769,1693.06413238502,1597.78853665675,1571.11697028926,1602.68817456844,1694.24849857342,1852.42384149343,2038.56812076875,2243.52164542061,2453.33490621858,2656.57611556381,2818.07135478206,2965.44759478294,3068.41870360127,3146.6343705594,3183.35936314055,3201.68376899132,3151.24775363848,2992.39516878589,2818.46894576424,2693.3282732937,2406.16882927096,2079.98252678434,1828.78823384883,1651.40871599952,1526.68501069758,1444.56628997866,1418.77065031156,1465.09350586362,1549.17205154157,1706.42613321453,1903.40967875902,2115.32943520113,2324.28837107402,2525.57041810409,2687.72324569439,2837.3011755023,2936.93562158928,3021.1044960851,3072.33511702086,3101.27491154193,3054.16180506078,2909.05635272443,2753.60592278325,2640.67015286951
"N099589",1445.40284020907,1384.96161771084,1250.4240965942,1105.88778642289,990.760831357625,915.113445394168,862.185086077901,826.590160216146,824.460610530423,844.033541756271,904.712705544909,976.450953078758,1033.58323904049,1077.31493047405,1109.12443456552,1134.89537855445,1157.79773707859,1170.85526984303,1180.91947273152,1189.62358054507,1203.60416477946,1198.6195635242,1178.19590520584,1132.63568732349,1097.58790522615,1065.90838564232,960.678834860927,844.641172492269,755.603551194663,704.342273058062,672.207909770638,658.099326059031,671.954902070013,708.038194639224,782.824378299989,866.782160314191,934.003347658468,986.69294214235,1027.07032033467,1060.45003219748,1089.50947119251,1108.38118031435,1124.37136860348,1137.67284215737,1156.07312076158,1154.08473414797,1136.98755257113,1094.59087458616
"N099590",5383.30146713876,5073.10071400512,4643.373818699,4231.00722028299,3897.36388023197,3632.37486062126,3428.27982632535,3293.40070561758,3247.23923344532,3249.90389153944,3303.48943690695,3477.56779418406,3695.29289996374,3934.47413517681,4220.68116735464,4489.53197614248,4714.46188879683,4963.58700524697,5183.08846660563,5365.11709751726,5469.11638749369,5456.46630251211,5284.5853761998,5093.48238826344,4946.55784709699,4645.016517359,4248.12680134612,3870.99202392453,3572.41765011121,3345.69027233871,3170.36406474491,3065.09327907935,3042.21660792932,3064.37411681422,3140.4338240995,3329.93903841546,3562.27320324623,3812.45969831146,4114.06906297832,4388.0180240924,4625.23686670822,4879.43474919245,5111.58999645237,5296.62136636745,5405.97789642855,5396.43029173454,5235.93673100475,5043.77206309346
"N099591",3813.12936500264,3517.09153886131,3085.9838914111,2680.17020802538,2361.34462089006,2108.43057258488,1920.76821011942,1782.2971150973,1713.17569277331,1709.65894865564,1711.89685359719,1781.46239435514,1865.66814064914,2001.22210852788,2173.18881664005,2374.17055870072,2608.83879940607,2864.27909014507,3100.5984679414,3290.95973047575,3418.8811023314,3476.04589098442,3382.42713087669,3188.12572126686,2980.98024915158,2774.51718124903,2443.8762433474,2133.6596169506,1901.33786277423,1721.76358267367,1586.81369331112,1496.85332964705,1463.6775006263,1484.08644785668,1502.25882677306,1585.61202444361,1672.34182127997,1798.34679360075,1954.76219288503,2128.8196525298,2334.64798504797,2552.9738384276,2771.88223859327,2948.28003887502,3083.39094546552,3142.4695631352,3050.68151589888,2857.77605982546
"N099592",5048.01580820283,5110.87473945136,5324.41901227487,5570.73753035127,5790.62960999715,5950.23409605654,6077.68481439744,6173.41116998073,6281.78314669831,6361.16584483157,6423.6175720776,6469.27194022078,6535.25414166533,6575.96578764513,6522.77936157185,6379.72044807634,6208.94216942202,6099.09352313899,5711.3126628077,5240.81344887074,4887.25038099412,4662.85529397196,4522.24119565986,4444.77670950541,4484.02444214523,4615.71906642765,4894.29770747818,5199.54018422293,5470.65594752368,5672.60627020264,5835.93400318267,5964.54749583807,6100.85837027539,6198.83800484066,6283.78967419977,6343.97398001025,6422.03325823775,6483.55901192251,6435.59758081015,6293.36443568909,6134.61164148509,6037.75631321957,5651.12184296802,5193.57735215626,4844.90440783183,4618.05999442616,4486.73503220062,4412.31367391346
"N099593",49195.1107772689,47525.3112905965,44471.6896148393,40046.2793613796,36000.7683315213,33041.5637930687,31012.7239097086,29536.2959768248,28652.0327099838,28547.4611631135,29069.1522441524,30037.4172709129,31613.2341994236,33297.9593524966,34984.2747789934,36887.0760374089,38537.1670831674,40042.5816155413,41993.1517139326,43459.1306393246,44411.24834189,44884.9230906352,44323.7274263845,42898.8318240922,41166.8512805232,39849.0417551725,37314.4511606894,33285.7914766218,29556.0596597102,26816.0490719383,25001.502717319,23603.1916975758,22804.9645742744,22735.583647605,23242.8342928377,24193.3690456011,25707.4954723053,27348.8438326664,28933.8944844483,30702.8009426289,32231.9836055237,33602.0561673415,35375.143915143,36754.8618148702,37663.5172674779,38116.9354526053,37581.5992381375,36121.1509889994
"N099594",28937.9667466969,26085.7212632686,23970.2627097268,22449.2084277029,21378.9526329763,20842.9661854501,21089.7135917623,21658.0859588701,22704.7409280666,24331.4052280093,26293.1214333476,28472.1512905292,30488.538306785,32123.2789254883,33474.8518437218,34389.9290698088,34771.3888183159,34872.5851419126,34514.410097467,33523.8323624254,32008.014714805,30659.0334664163,29524.3507815675,27081.9289813381,24286.2898284424,21999.2725567431,20338.9323794695,19201.3260143599,18451.5870073609,18164.5687941268,18616.8549776518,19402.6553395475,20613.2728211071,22406.3672848209,24463.5854675618,26778.7611286118,28901.9606974493,30639.4134821484,32076.307564082,33080.7743293139,33526.0095888844,33738.6051218682,33390.5867521512,32493.4024083043,31014.1858657785,29700.6232803117,28670.7523767741,26263.595005811
"N099595",35217.6598314145,32101.5242697821,29676.9411202014,27818.1649137025,26377.4627980237,25369.0442623069,24831.0743364209,25110.4778425919,25759.7957700463,26801.7586759744,28458.93378919,30340.991325963,32294.6617800868,34243.0357729828,35938.6569830289,37386.0954746049,38313.5885621379,39041.6780379554,39277.3918822438,38913.0205306532,38162.9218939784,37059.0194156762,35637.1814043329,34644.7960401164,32329.4722752796,29710.8728830066,27648.0315955966,26119.4937678438,24944.1964291031,24170.1778635026,23821.7472783979,24227.5077321056,24885.9518170076,25976.9926117078,27795.3390778104,29809.8204889478,31886.4197758179,33872.6315880639,35550.6240640736,36982.7221534837,37872.1018185467,38622.8435319347,38907.8062237697,38626.2122981142,37929.0161100894,36764.6677190897,35321.6922708292,34380.3061145624
"N099596",451.528354951865,443.608192200911,430.047050953611,413.200383460254,399.632883190286,391.151016116014,385.939865142288,384.645496816875,383.528097774075,384.391848353298,397.641108764957,405.046204172538,412.247219648009,418.76030029673,426.807662083609,431.183303095867,433.083055995426,434.780897457747,435.707926714616,440.118824612897,440.667546652058,441.598811231508,437.407233605974,431.871822278204,423.902234282616,418.218265140692,406.426806355747,391.351444272013,379.362062596838,372.239688973831,367.970814636226,367.584871073039,367.308875291375,369.286978937171,383.090432051776,391.145386616184,399.105036965731,406.090223343726,414.565166997755,419.600870840891,422.226033180902,424.311676815708,425.659241060254,430.265746406875,431.509312124081,432.579359341084,429.107838716613,423.597017337471
"N099597",26299.5196753392,24494.9805445325,23205.3264733529,22509.2500273002,22426.7235285504,22754.6875591603,23634.8098795844,24660.200833813,25660.3304102043,27052.0155963461,28307.9243596027,29397.7350817568,31024.9876018391,32423.8232708038,33426.0862871419,34112.3775449664,34172.7582927131,33665.5572396416,32653.2611655518,31912.4283675501,30317.8789190534,27487.7645032479,24791.1775099993,22880.5665838212,21492.0307897184,20354.9257245315,19577.9408416589,19251.1163507083,19398.5166678311,19841.2460907405,20707.6219707522,21699.0382636149,22678.5301089035,23972.5398709521,25141.5038034295,26166.2802672193,27692.6420329976,28984.4979423602,29897.7241579682,30612.6212386769,30742.8662458649,30366.4776837611,29533.7526101557,28972.9739598937,27596.2410585478,25156.8594399913,22778.6446983205,21012.2381131323
"N099598",8088.15901335621,7216.5380548268,6569.26250540209,6106.80317928717,5779.11065646683,5620.40714925293,5692.11191970831,5815.99102320162,6142.25924781326,6667.7633625559,7258.4378090002,7895.92973105034,8475.288654249,8958.9386088736,9359.26585264582,9581.97431619042,9699.24680576217,9747.8578187723,9662.04931881165,9422.31478570488,8973.33784815985,8578.76049736524,8183.79594869733,7430.76822678938,6621.99159286947,5933.20941150528,5448.99499225443,5120.88397025478,4901.79149385498,4835.17586952596,4983.00264711063,5173.88718239699,5557.32313001963,6133.58220619298,6772.15802450169,7445.49795800682,8063.81383688822,8575.82278969956,9009.27515936048,9257.87260715596,9398.70919061399,9468.08398293635,9401.78359364415,9183.58246529116,8747.53360011293,8368.19987440101,7988.81995378271,7248.13195586833
"N099599",537.595676758006,479.466656202165,437.075772298546,409.547525411336,391.980899893288,385.037907547315,394.156702255549,417.112306670323,442.641177489728,471.092090708802,499.511803892706,525.737407629209,547.759075865218,550.903097099771,562.060389370519,569.495239442833,576.622600760769,590.220379303407,574.746666743593,561.093010290908,538.347719910827,517.00783831159,498.660274957817,458.384471189649,409.539834277102,372.559200758936,344.748494077516,327.42411291079,315.774719495377,312.976351082339,322.985631890046,343.272070524668,366.629867043418,391.972579003589,417.938545587648,441.487657984533,462.543761358076,466.981184004628,478.511241126926,485.030396836362,492.838171640066,506.726352483163,494.159059397501,482.88162833224,466.262533212456,446.975535379788,434.197753796933,399.463427516025
"N099600",203.334472451263,195.090214287833,180.833964753299,166.789253427081,154.980018573736,147.688555354363,143.05863561614,139.439168351133,138.497378726583,140.841182642651,149.034815332808,158.762587157734,166.292328545527,172.408894264396,178.045794129716,182.798551659238,188.305982090117,192.219653648728,195.215412222691,197.366448168016,199.145084691194,198.398376144223,195.894495125243,190.249264997852,183.764179432229,177.457385179773,165.497237695324,153.47023879978,143.44789258315,136.988105785983,133.05660299869,130.029159536972,129.467826567694,131.873281007027,139.91292641109,149.086872471904,156.409784360838,162.524666170202,168.086322156495,172.58867747284,177.830725271987,181.630448476673,184.5835788733,186.718490550967,188.560036779789,187.846089110813,185.712237662854,180.614136165379
"N099601",13491.242745194,12137.9226115328,11109.6765304822,10368.0520551751,9845.24188777502,9590.27122266736,9754.26567246651,10132.514409506,10677.7031411924,11386.6665201026,12249.562411027,13252.7264778758,14191.3029371127,14990.9364164012,15701.0586395748,16182.2472162776,16439.1124365499,16448.6551183145,16278.0397358722,15807.132006235,15116.4782919217,14501.650819266,14044.5580897589,12887.6682975803,11577.7737990214,10495.1781657746,9698.55221155698,9122.07549485477,8732.65998653032,8596.15405778115,8814.01420725164,9202.3586834408,9767.08678072952,10534.1796349093,11460.6723928633,12524.7121678567,13503.828110452,14294.0994367033,14979.9257668985,15419.1184374626,15672.067676368,15736.5579827724,15593.6544260019,15135.4420841476,14474.959303188,13843.6791453287,13380.9736152081,12253.5916121639
"N099602",1229.75022268848,1109.2710155324,990.986488657772,911.308433790501,841.522462272701,799.93509042784,770.083494730794,761.559836071161,776.581198575826,783.36827567227,827.532843276347,895.818388331589,962.183884433992,1029.90652513203,1091.42795400093,1146.17942774744,1194.50893586419,1233.9023463824,1254.96258790757,1255.59613401904,1227.46247284491,1178.93528021092,1124.59768488647,1100.79167609552,1057.80585901465,965.293240897956,868.80153530137,803.987989404508,746.286263041684,713.219417561035,688.826720403853,684.198960951181,698.811394431225,707.063563972374,748.754319338286,812.240703718025,875.260703748357,937.815779848684,996.491256475521,1048.25487641458,1094.45096877213,1132.39642821002,1153.34351209649,1155.34291051383,1130.23667240665,1087.98850509327,1038.90746201597,1018.10143250024
