"","f1","f2","f3","f4","f5","f6","f7","f8","f9","f10","f11","f12","f13","f14","f15","f16","f17","f18","f19","f20","f21","f22","f23","f24","f25","f26","f27","f28","f29","f30","f31","f32","f33","f34","f35","f36","f37","f38","f39","f40","f41","f42","f43","f44","f45","f46","f47","f48"
"N099587",632.795859063861,576.603883436497,544.207802353717,521.192889836082,507.967427196368,501.066892224743,505.504631616448,521.450779001024,537.778054327669,579.956761753381,642.005226651764,714.483820668326,787.752079890526,849.274616988996,895.346033151817,926.255347594973,941.642247136046,946.449881412403,945.550226691739,933.5380827933,906.689425010853,869.412422344802,850.968339753228,801.343665591964,736.917780873651,669.798638276876,622.931840955165,588.731630179527,565.838823351086,550.881974405107,548.782145747964,559.029776472767,570.45503434026,608.993647659204,668.1984195572,738.527052656,809.674837654602,869.075223316043,912.973016949881,942.613766728006,956.731781219621,959.823082787064,958.009476343845,944.808935914334,917.869170653572,879.309735624797,860.213729908337,810.197214832422
"N099588",2852.84598797303,2552.59021094716,2342.53006495934,2210.1063079388,2113.14400277788,2066.12578321539,2078.97627411968,2142.17062391479,2259.31008358289,2442.08776586307,2646.41291685076,2868.14464999141,3092.10727470815,3305.26189876591,3476.28650840376,3633.19435453144,3743.97819179208,3828.40526591969,3869.8418717997,3893.72080349191,3847.62455280596,3689.59002405851,3520.13179878234,3396.0462819782,3115.20609277748,2802.24926428527,2565.32584235873,2407.22116180098,2297.20745402573,2231.2130743332,2223.35801090823,2283.28752153226,2379.79285467727,2548.36508026803,2752.09951403561,2973.21888518798,3190.43959890973,3395.32531699174,3563.91685993397,3719.11955411704,3819.60434883671,3907.79437094613,3962.32584314255,3993.87208441523,3948.69495215686,3804.87718471901,3654.5029288365,3541.68520703547
"N099589",1511.56025004359,1494.27508872751,1400.71169127499,1293.46201607846,1211.22454485929,1165.02936620563,1136.8310542676,1122.91703763872,1138.26693384124,1173.40698972522,1247.34619943762,1330.42301565057,1396.00208743009,1447.35519521944,1484.78749287576,1515.40143353944,1543.25749419522,1559.15873462514,1572.33343144873,1582.7500256423,1598.45974131912,1594.39475457695,1576.10691755869,1531.35869657365,1496.96298149216,1467.24673222649,1362.60821973569,1248.55829733899,1160.96488945565,1110.83914364673,1081.42046494809,1066.50832045712,1082.76872804109,1119.1677731488,1193.56001515734,1277.92535007135,1346.48061579787,1400.00694190401,1440.7440550361,1474.02508605915,1504.17700802691,1523.77351853402,1538.44369517043,1551.74446107619,1569.81285556265,1568.94462378714,1550.91019259285,1509.09962303671
"N099590",5509.38892188226,5335.38517537473,5022.20845090511,4707.61422200084,4452.76992602576,4253.89311836392,4103.75936397468,4013.76349241179,4002.43655609674,4036.41691581147,4116.70146161821,4311.0937976437,4550.16992977456,4805.10439373001,5104.08115623815,5382.95596942189,5621.01302812106,5875.42129920307,6103.97401684236,6290.20455586356,6402.9077133746,6391.05626385707,6224.96670302338,6038.38218556362,5894.41654789829,5596.68409680977,5200.22698145251,4825.07328603038,4533.40571170362,4302.92801095005,4133.85025967019,4028.57054448912,4003.66486370117,4031.03490051896,4106.21400434256,4293.29005535527,4526.60731121874,4781.54945720671,5081.84316289602,5358.53465535906,5592.30981126948,5847.38654410951,6079.5832585666,6263.84648786132,6377.29826095855,6371.26022644101,6202.06888721153,6012.12756056533
"N099591",3905.97642385265,3705.97559887556,3380.57142598091,3072.6727808387,2841.68440375782,2665.28007455406,2541.15144101315,2456.37763547573,2431.63282057236,2462.69203790603,2495.67064504179,2588.78923112956,2689.99372987149,2838.97462112531,3024.09324628029,3235.65866567871,3475.58980559207,3736.99204830873,3977.21638102943,4172.78195250716,4300.86308347012,4359.83549803474,4266.48560676408,4074.5817287852,3870.98721919612,3668.02852510867,3347.25588062898,3047.65364649887,2829.33623100387,2657.4575349842,2536.63724350925,2458.3631769813,2434.47834144426,2466.95939196072,2495.43317057105,2582.18907436705,2676.0728689532,2807.92710956815,2968.99020846676,3146.55788543909,3354.81732197285,3580.54178502127,3793.8274741423,3975.86503562748,4109.55176909683,4172.72706366741,4077.81026558608,3887.55355454572
"N099592",5223.41091549411,5419.67182179419,5756.30588663444,6107.57177006255,6415.38224113297,6646.28820569482,6835.67380807066,6978.39195666855,7128.30841773826,7238.57379793425,7331.52885673215,7400.24058723886,7482.55342685501,7544.29908105094,7501.88948303531,7370.81089143069,7208.13186455372,7109.1334685092,6729.27334696906,6263.95560057112,5913.00110334002,5695.96241711566,5560.79020217241,5486.95386059937,5526.60384071997,5660.70275790543,5942.46658728755,6250.047632199,6521.57018892651,6730.70681758031,6889.58081669981,7020.66391937002,7157.12940509492,7263.29964833642,7344.12671081367,7408.86221991492,7478.74543327824,7541.42033904158,7493.12398817483,7360.98936584633,7199.33242662457,7098.24091249557,6718.64359062274,6254.55846198306,5898.13880146477,5688.8178115742,5547.87043218301,5476.36147001951
"N099593",50448.5571317306,50030.0107198784,48393.4022025404,45215.7694440914,42350.4640776873,40496.9653231735,39469.6881120094,38912.0475366054,38904.3403077138,39616.5765260013,40909.4500904247,42606.9182394624,44874.3210692963,47219.1157195124,49509.1704184912,52016.5104381607,54248.6197584727,56315.4735412962,58808.9649647354,60801.0561380087,62263.8369171709,63234.0364792868,63156.321250738,62202.8129186198,61063.5756438504,60425.4059522284,58648.9810679909,55395.5766237533,52449.6513973861,50495.2238169538,49451.657616484,48811.3832651972,48755.9393536183,49411.3789421324,50627.4193380511,52270.4641423398,54461.1888824637,56764.4794304708,58997.2593709353,61400.4660445628,63551.3528591674,65531.1043271813,67902.5218047805,69869.8245742902,71355.8366580236,72376.9079943603,72399.9870565554,71489.1430253185
"N099594",29886.6034936632,27884.9338288886,26612.9465988603,25797.7273983659,25319.4881642983,25264.4330582921,25930.1790314704,26860.3624811462,28208.4632145865,30120.5398880582,32306.6168662244,34691.6878908878,36903.1674828474,38728.4036616407,40223.8865780687,41284.9073518297,41793.2839153262,42030.3401986666,41766.0543361653,40882.3008422661,39431.6063382552,38164.0253574016,37130.0448337587,34747.879641496,32032.5239921785,29786.5602871594,28209.4029840567,27112.5209776387,26423.5204814066,26179.1013022621,26693.7915529489,27482.9256021993,28718.7672781613,30563.0097345003,32656.7857594569,34994.4969012105,37173.5164275952,38908.2309444722,40378.8377565542,41407.1628780825,41866.7978974499,42084.7005789751,41786.0364002781,40877.9078567882,39434.2536078614,38150.1797388649,37087.4415702075,34697.3430051501
"N099595",35793.8143890069,33403.3992449912,31683.2528353553,30475.7622238734,29620.8561177563,29129.7441943481,29044.20206132,29715.6594051618,30699.5918856283,32045.8686324161,33947.9911106424,36032.6028295916,38180.2781488587,40271.9272439329,42099.1434622579,43647.690115121,44671.6168842739,45474.763598009,45762.6261373857,45454.1556523444,44768.1881038687,43687.4570770421,42324.6922942402,41354.3864691516,39068.7714691581,36540.9521710152,34587.5380173314,33170.06122387,32100.5006118984,31454.9476354259,31219.7023029094,31722.9508477859,32500.3818388245,33655.4692280096,35559.7075289723,37646.3189200773,39779.2100323159,41807.189167773,43514.2792053711,45006.6445250581,45945.2718901465,46688.5499113466,47001.9573480537,46788.3990810724,46102.5046816542,44940.1781780603,43542.6481546413,42587.8254206485
"N099596",479.634024366675,474.711559160804,463.719399097965,449.052486842033,437.292346023772,430.504691740703,426.717081845037,426.638874799017,426.488591994067,428.582726149641,442.80128385738,450.942257400769,458.667829073822,466.014882196367,474.494230285098,479.422856102612,481.754341243405,483.770497520652,485.203853453891,489.733735930661,490.926362389854,491.8052483582,487.799422955662,482.713273191154,475.319178386325,469.53698506535,458.268638625104,443.331010392524,431.729352793231,424.884119993946,421.200662542472,420.899138071754,421.046713086172,422.935203185408,437.016120716003,445.285211389755,452.926241675956,460.478847972923,468.993143555276,474.01430290702,476.572917772736,479.058237368183,480.248790672134,485.184214913442,486.185823205794,487.518650673831,483.725024172718,478.414859414893
"N099597",27565.6482827843,27009.7410408291,26844.3336581887,27126.2966305718,27893.6918569586,28915.2240845802,30363.2321490913,31837.1473622647,33213.7923000475,34900.6691429782,36396.0120105728,37645.130862611,39408.3844424895,40909.4603995448,41988.0382722137,42750.1750527473,42851.3218001295,42377.4691005849,41398.6813182343,40691.5631041153,39085.9871615396,36286.7094463414,33607.7000776279,31658.2981355871,30355.9304350737,29337.1372015894,28760.0179453766,28622.066512592,28997.3971963874,29644.2648726649,30730.714400457,31873.4505539613,33024.5837797897,34416.2880177347,35709.332064571,36783.2132886391,38353.6540030787,39707.9542551416,40701.2931146879,41415.067470728,41551.4351328617,41258.0723827526,40432.0594539755,39829.0376999127,38481.6558227238,36042.2171384474,33679.4104383311,31920.5073642125
"N099598",8348.02999726686,7754.33840568438,7366.44588296164,7125.89081675523,6981.05657910548,6975.44113363232,7177.27428471403,7411.31339246677,7829.88049781137,8435.56974233593,9095.58414780323,9791.92780786495,10422.9888400689,10953.4211852988,11393.3067331613,11651.4503882573,11801.399296125,11879.2761076656,11817.626633945,11599.5461884838,11172.0214268009,10789.6197467931,10412.7667039694,9676.28141588681,8881.31873447666,8203.27809583108,7729.53203106835,7413.51169135623,7201.0727918935,7144.13994521674,7301.96455539905,7500.75545725457,7891.67033807358,8471.27022563306,9117.21189485283,9791.91219405452,10413.3387417505,10931.6907150677,11363.3640783326,11615.4082467597,11759.3331638412,11838.3329876206,11769.3232590355,11549.0148910543,11118.0977143421,10738.0707735884,10365.2197733994,9624.8551785959
"N099599",628.676175051604,592.829297914706,564.646050479186,549.453513625049,543.530703764805,549.554669025144,576.929927267822,625.243394982615,679.676395961501,739.087436891438,800.511586879612,859.049510610833,913.381594257553,935.54094736635,972.498336565385,1002.8139760577,1030.29018489,1073.89842782642,1062.78345593534,1054.0518637262,1027.83815337248,1000.57430394617,981.550753014562,914.821956041714,829.064160973113,764.296682566325,716.993917598685,690.568024265563,675.831300812764,678.277131096614,707.581204180175,762.838478799454,823.995341191562,891.141764956021,960.493489740137,1027.54096481871,1087.0886399777,1108.93458910783,1149.33719214357,1181.5794993754,1210.52222316407,1257.88257846558,1240.43954161902,1226.62862069022,1194.86306194016,1159.74972615987,1135.18891235964,1055.37141247989
"N099600",212.469453255912,207.460291618957,195.369205547038,182.82635950512,172.35419647488,166.582849288535,163.313222311425,161.15734581743,161.749815327019,166.174354867401,177.350521471646,190.201437395719,200.289720447021,208.899672749464,216.994437842674,223.81561714532,231.301848228757,236.909684567486,241.680352368929,245.198951991701,248.215260936179,248.047299026254,245.849976341376,239.789197597281,232.372751317685,225.335220803584,211.256304313081,196.658855904306,184.690292360993,177.519014411423,173.559292100959,170.838507564276,170.951470735107,175.295503906662,186.62326064708,199.764599658459,210.541289907013,219.246575885959,227.43699913677,234.120192059354,242.222603602703,247.920722385313,252.44187974885,256.14423823821,259.027158355944,258.983729301568,256.594003265097,250.094368889231
"N099601",13901.7160241952,13043.881425381,12485.3197437458,12128.453665317,11916.2480579372,11917.1105434749,12278.5448138784,12826.1370624609,13505.1366696673,14336.7386308346,15297.9520592662,16388.9812928126,17397.4129874133,18250.6888194749,19024.9942525223,19558.8571139336,19844.1891290579,19885.5477286184,19752.162315168,19310.8131953318,18627.1149052182,18043.2409377448,17595.2684501391,16457.9907448467,15185.386972168,14139.7640155654,13385.5988951846,12868.3163083221,12533.0189972495,12443.6412698896,12721.8488573584,13163.8201381109,13775.5050519609,14583.0764500278,15543.8201186374,16636.1508076955,17637.8615616074,18470.4409443764,19168.7445562783,19615.4078480636,19897.7656264707,19960.8045768405,19811.9863767481,19371.7951359174,18726.1353483343,18106.59052633,17652.6351302748,16531.1133247083
"N099602",1343.53983948651,1248.42235907679,1142.03542967801,1071.73618202784,1006.98446401965,973.562411178993,951.61430378114,954.277645311924,984.869629720618,1006.10618043928,1075.4796686743,1177.34148177741,1277.43445348321,1381.15649404469,1479.27744024863,1569.12674408614,1650.48593754125,1719.72762344598,1766.36556511405,1781.97961499073,1756.9882337712,1701.49776081183,1636.41123311498,1614.74192795431,1564.0750857915,1437.37333457893,1304.27146783933,1216.37549794003,1137.17823587634,1093.95382289466,1065.0395634169,1064.11937375076,1094.52571864471,1115.34313212135,1189.38778810176,1298.70148164518,1406.54927314815,1517.35090510211,1622.39121871509,1717.03862138318,1803.73271184456,1876.27094860461,1924.26004717262,1937.93002766899,1908.1344678946,1845.84913460488,1771.82647633087,1747.53030334352
