"","f1","f2","f3","f4","f5","f6","f7","f8"
"N023001",6782.60466118586,6775.67759335306,6770.32704181638,6769.24673505404,6760.84775620363,6755.97661305547,6750.10855212656,6743.79324745493
"N023002",7065.28486714747,7064.33065244563,7063.37146388627,7062.42034818206,7061.4675593123,7060.52035778944,7059.57331495063,7058.63047002678
"N023003",7168.41856014041,7165.77482476434,7163.03010641153,7160.39154535427,7157.69736332441,7155.07363391059,7152.42183339444,7149.81868237057
"N023004",7700.36335365213,7752.15213288149,7798.13648284719,7792.11465643836,7791.93408326546,7791.7565513106,7791.57783468221,7791.40126596941
"N023005",961.642207149373,849.285688630068,1088.3565550896,1283.8780869858,917.934664923622,809.987038840746,1033.80123254838,1221.11851835007
"N023006",9780.29886604259,9765.04076861873,9798.57567917527,9853.02953572036,9838.02232020491,9828.38124685331,9858.43024380054,9904.76012274005
"N023007",3357.08855787858,3364.72905444605,3351.62561438545,3369.14600204942,3369.11566077256,3369.0845939639,3369.05414573883,3369.02321668324
"N023008",2593.03673663543,2546.44514178125,2580.48097041068,2602.81708268345,2591.73941096403,2545.31045286524,2579.49600574018,2601.9706810652
"N023009",2481.38760471237,2483.54736455637,2482.38272635045,2494.86741860153,2488.68261342631,2483.86865319097,2478.8023760157,2474.42066515849
"N023010",2552.99471984361,2556.60800438883,2574.05088989869,2577.53962997502,2581.8461408412,2590.27494466346,2602.39717286078,2607.19777670161
"N023011",1167.47420345244,1178.04833384591,1175.03908241549,1172.43924367369,1170.5840320531,1171.97828685982,1173.11510979337,1174.10722215926
"N023012",3229.34660736906,3006.90009144886,3205.06341895521,3255.02604420273,3168.84435683348,2978.90696621052,3135.6960521604,3182.98281254649
"N023013",1765.72878211428,1779.86342459402,1794.07711359665,1808.23312938655,1822.44946974832,1836.62662922491,1850.83405289801,1865.03299719353
"N023014",12063.4511804227,12151.5524612375,12288.7029706677,12417.614601318,12517.4333446109,12642.6989569003,12746.8627428472,12853.5942340202
"N023015",1229.14361645012,1191.76605536748,1270.28639363321,1301.72226155279,1224.79655477002,1187.43693302837,1265.95466494825,1297.45407567354
"N023016",2126.92114628121,2151.43615616467,2221.28090422055,2252.0064587104,2294.24886453752,2322.09854141381,2386.1360674573,2422.83350689617
"N023017",2437.61576753191,2457.53077150421,2418.06010907097,2482.24031864919,2483.1934654704,2490.99278382059,2490.60916005967,2508.78846831028
"N023018",4696.39275513897,4471.27489215738,4907.3998172089,4782.58527941193,4686.21824791518,4459.08600704743,4893.67870648914,4776.17016804348
"N023019",5713.59805269701,5711.29504952214,5735.31550839798,5776.05267140591,5776.31592740818,5776.58426257013,5776.84915194548,5777.11734932787
"N023020",6295.08259066822,6295.20027437502,6295.22934729705,6295.34766201885,6295.37641422634,6295.49536539057,6295.52379209462,6295.6433851841
"N023021",9758.42432034177,9805.00282095033,9832.42086081411,9923.87421656372,9923.83981760426,9923.75011998655,9923.71556558501,9923.62620386608
"N023022",5190.0430239273,5048.7265402424,5102.22986849786,5027.43210971474,5133.44209039138,5165.61139221847,5163.54135939568,5086.45102584005
"N023023",5967.82216943251,5856.47310869687,5997.16720739119,6081.44610541098,6006.23784210168,5894.93116895098,6035.59114801749,6119.86222978795
"N023024",2314.08566035578,2305.12232552368,2332.72148565279,2318.13216843942,2300.74330329139,2290.06594000123,2317.33143053989,2304.16578892299
"N023025",1350.92193085453,1351.37407884524,1362.73776258064,1348.64728987097,1332.13337203996,1332.99348864439,1342.24509144419,1329.50105922651
"N023026",7255.44999038238,6596.01807807346,7402.481378384,8629.58349782109,7252.24257060773,6595.06157929618,7395.04193203295,8618.47537670335
"N023027",9093.3808576982,9179.37853578253,9290.32282901752,9337.49135031441,9222.99695601091,9133.81705955425,9348.95684334259,9500.42405732457
"N023028",5160.33933878223,5174.6939434733,5089.27879144508,5045.0133716743,5248.31240991395,5262.8212740762,5177.05012550563,5132.44584474037
"N023029",1937.85202188823,1916.64634902433,1872.61553922732,1864.91881554152,1939.91228980525,1920.61491422003,1872.02662351162,1867.64975240942
"N023030",3127.04706962957,3131.25342168551,3073.79107563542,3074.83162066282,3128.02358393466,3132.1906662092,3074.38885725863,3075.63560289799
"N023031",2482.407435224,2517.96995288709,2496.00858254336,2481.0300736739,2497.89363059861,2515.73765789414,2498.50941567788,2497.90494755151
"N023032",4770.89396735948,4716.20278851332,4671.67026295822,4677.81727488624,4800.36544870482,4749.89755519404,4702.67701253257,4710.76790338618
"N023033",8267.91062692685,8297.19197235265,8325.93531956703,8354.64081555732,8383.11072081264,8411.37986260681,8439.26390319359,8467.02066986468
"N023034",7191.18419234511,7262.8624387851,7297.28382009706,7292.61899636059,7378.27391807555,7357.29760497618,7408.57422527701,7443.19363001587
"N023035",10131.7968804099,10182.4588876212,10220.2533161118,10257.7727162048,10295.6486912581,10333.744224834,10371.6606261703,10409.4252523437
"N023036",9106.34820787899,9145.81426087468,9185.0173453457,9224.07313237687,9262.413419142,9300.29503139478,9337.71845512679,9374.80857072382
"N023037",4445.31420686379,4465.13832057406,4484.38228380831,4503.8799194272,4523.28771395729,4542.74729616477,4562.20038396897,4581.67107243328
"N023038",6436.08846681918,6466.75141846875,6497.64214343288,6528.34664473883,6558.8534224291,6589.16422834286,6619.28088323082,6649.20524671203
