"","f1","f2","f3","f4","f5","f6","f7","f8"
"N023001",6411.14120030649,6327.018623645,6256.02770226981,6190.10035529056,6131.54587564123,6073.46630355219,6019.08761430534,5970.4792836964
"N023002",6656.14437362853,6502.04939305642,6379.53435817043,6275.61088539033,6185.23177634752,6104.58794869115,6027.0133081116,5954.80859318438
"N023003",6815.53541131924,6670.7870000921,6558.25396209654,6463.38422260405,6379.80230423839,6304.23847405568,6230.94242884691,6166.00155141404
"N023004",7422.4972316404,7358.14626286168,7315.27575394206,7236.05449033748,7083.63091560309,6964.30961812826,6855.63609003377,6758.28935680991
"N023005",803.792588376358,661.22900512887,864.177580293133,1026.83842553983,672.880069948722,550.04765610888,740.812842196571,892.074752026581
"N023006",9669.80444949008,9592.68374205837,9580.81454712151,9596.98672353137,9515.50590673022,9478.08670921678,9479.94046375219,9502.32934418723
"N023007",3294.80864246778,3277.09312911293,3246.23216943792,3247.17558065888,3224.26843195386,3203.95906488203,3186.85622769963,3170.11476953652
"N023008",2544.27995438713,2477.83381648821,2498.03451668147,2508.26109969134,2485.21436515622,2428.71660499511,2455.09829015339,2469.43780232181
"N023009",2430.13245752052,2411.16118798862,2393.88128373023,2392.41293066102,2360.15460549751,2335.76291229136,2312.1700708311,2291.15787129723
"N023010",2510.996891485,2497.41049779173,2501.25607645215,2493.79775871262,2479.79904678501,2472.64671751516,2471.58938962284,2464.51692017153
"N023011",1142.82497635954,1144.28186294087,1135.40633136781,1131.1725085835,1125.37258874193,1121.9371292345,1119.0703344654,1118.28783139973
"N023012",3074.4772051267,2815.30931373065,2985.68981213361,3009.22078418537,2912.75523976885,2699.95618597238,2838.29842820845,2866.40278992893
"N023013",1725.99385620705,1730.50167254953,1736.58325531118,1743.89885097014,1751.37091912686,1759.50134325396,1767.64416405758,1776.33700264039
"N023014",11264.1921967144,11342.517248093,11469.7582071851,11581.9232788061,11656.5587877346,11772.392945366,11858.9580954832,11945.4932699185
"N023015",1114.55197806851,1051.89603370744,1100.17992960969,1107.19487754368,1019.21765563908,971.083929920614,1028.19119016322,1039.05483644652
"N023016",2001.59549090513,2001.97209532837,2059.34229895324,2070.24845070117,2094.412635705,2100.84669927699,2135.60651052433,2147.21909862987
"N023017",2381.37521661697,2388.71861516984,2340.67764809363,2400.83905266941,2376.01644895184,2371.00422160984,2358.66182781639,2370.01572588821
"N023018",4399.69846308708,4134.05318952304,4500.33131281124,4340.56837346056,4217.93035226412,3970.20925016985,4335.07462822723,4203.72843932762
"N023019",5512.55671915977,5433.74914146974,5395.80295662632,5383.27577210705,5323.77500760173,5273.07770002976,5222.73524794568,5179.57755137079
"N023020",6142.30804050795,6078.71471944536,6030.27427813063,5988.88850456696,5952.81946351682,5920.61567891443,5890.64919382559,5862.93679026537
"N023021",9488.42771217336,9425.69644400496,9368.24933471779,9381.27786086866,9284.61021614411,9196.7390612005,9120.76724968012,9048.90465562977
"N023022",4939.39488407482,4760.62814898619,4796.36868548024,4669.55457825759,4762.8380272501,4770.65603955803,4739.74612308442,4609.17957048099
"N023023",5894.79082348371,5741.40955987831,5852.75940375904,5912.31587638687,5812.17937322093,5682.73360710568,5805.50179946355,5874.26765321136
