"","f1","f2","f3","f4","f5","f6","f7","f8"
"N023001",7157.79863697626,7227.97758488214,7292.88692997569,7359.79465938268,7402.37972669467,7451.93033595352,7494.69844521133,7534.65428459656
"N023002",7477.83824068887,7634.10976017368,7757.38991141294,7863.29990937352,7956.60849070835,8036.89787548374,8114.14657219531,8186.04790596737
"N023003",7526.81210892197,7668.14534627053,7774.77772837767,7868.10487048003,7950.32773326251,8024.66288327965,8093.02110860605,8156.64739337833
"N023004",7980.58825537193,8150.48257223194,8285.53448361426,8355.2480988936,8507.61487335999,8636.46852228031,8746.47820031039,8845.02181959848
"N023005",1119.74397774463,1042.52576657653,1317.16476068714,1591.24015407253,1171.15615639069,1085.18578962016,1349.31292950679,1649.3596154734
"N023006",9892.64944703475,9939.92452922174,10023.3967170414,10115.5883410907,10172.5061576657,10189.6355840237,10250.3825874822,10320.7968786778
"N023007",3419.8993124081,3453.16544868086,3458.72106089847,3493.52396006842,3517.83265735996,3538.55335897883,3556.96833064789,3573.709788811
"N023008",2642.01738863206,2615.50878804277,2664.33575444264,2698.54727265309,2700.03803532199,2662.69959386104,2708.20219795881,2737.58934660573
"N023009",2533.3454768669,2556.70255930721,2572.22903615349,2597.82846287517,2618.2652223215,2634.80142762871,2648.40043338383,2660.13805683347
"N023010",2596.14342964039,2616.49567139477,2647.27030254776,2662.15576375577,2685.01741183503,2709.24945186712,2735.02181925746,2751.78568218605
"N023011",1192.51647335924,1211.76783295602,1213.992303691,1212.55817832996,1216.37271449856,1222.32924923744,1227.03955289157,1229.46946796972
"N023012",3387.07165680637,3200.92212063214,3429.36885657078,3506.33234181497,3428.3664357073,3262.37439394025,3439.46673833278,3505.19619047144
"N023013",1807.92462621011,1830.96226259687,1853.13023807691,1874.63366332974,1895.7829455377,1916.19442014334,1936.80500882893,1956.63448428355
"N023014",12924.4354721886,13044.7787822565,13178.2541212313,13316.9020349507,13448.1478549444,13575.1199176497,13699.7035795527,13829.674440636
"N023015",1355.37522162759,1349.89799575855,1464.96632200564,1531.68815060922,1470.22489171818,1446.77032757266,1558.30377781138,1620.18290691439
"N023016",2315.65809198415,2373.66104239794,2435.41722722514,2503.29135007333,2576.96196271824,2656.94163050905,2743.69763651224,2838.32963881533
"N023017",2495.30596332677,2527.27458850477,2498.08341810987,2567.15987048825,2594.99275069914,2615.9472375081,2631.23573295483,2656.03804135159
"N023018",5009.66458505451,4826.11661289445,5338.96661811295,5253.92206601601,5187.36416717088,4979.8438812634,5493.26726777656,5399.92772560043
