"","f1","f2","f3","f4","f5","f6","f7","f8","f9","f10","f11","f12","f13"
"N095001",35310.8679971315,35074.9782517484,34876.2361625545,34708.6337944523,34567.1790212584,34447.7116354961,34346.7559918398,34261.402096638,34189.2090470073,34128.1261774773,34076.4283453521,34032.6625855943,33995.6039675797
"N095002",3465.75302923497,3447.8991959699,3431.74190124841,3417.11340291637,3403.86366731177,3391.85831048713,3380.97680955025,3371.11094392514,3362.16343302105,3354.04674226803,3346.68203396865,3339.99824311718,3333.93126139806
"N095003",9753.4945453077,9888.04938018232,9861.23520587548,9693.26394380965,9676.82082155538,9936.16444942218,9979.50687851204,9831.35356548718,9756.02549508996,9998.64550336168,10013.5099044031,9911.64667401529,9768.27915022418
"N095004",2363.07337801668,2430.24432315396,2526.0296851395,2781.21260019646,2814.77498641695,3019.80330775922,2791.49950508036,3816.05827549896,3381.75233607861,3450.20517243192,3788.97478727577,4379.07337903967,5339.14382826398
"N095005",1660.93346375516,1633.34322427022,1803.00222364824,1917.75754346845,1786.11149413386,2034.22719531772,2352.19995051733,2330.58974381085,2067.35852299863,1682.09758026354,1468.05903317774,1369.26530479513,1316.8225452626
"N095006",590.765398189564,652.013340635743,612.553251159895,722.619290235086,730.807851317862,897.007590750188,796.089566165505,924.931991640246,1427.34353841508,1325.00603867826,1148.86961904165,921.89924588479,755.146755682171
"N095007",3182.75527363916,2664.26039608099,2735.99617253296,1828.0743808104,4522.58386408538,3003.98898242859,2975.78620995861,2107.61858810412,6141.68758113034,7632.83098504995,3444.8108870828,2353.76565530137,2590.94703236717
"N095008",4048.15013790702,4975.20321361526,6208.83690935592,5877.48215194937,7459.68918067767,6544.43872792946,5838.4360070431,5005.17487187828,6139.91405731263,6957.28901637332,4839.50430328093,3889.65218144337,3636.64490841175
"N095009",8776.67540905517,8733.91464870188,9716.88016792075,9332.26793249227,10599.7416448847,9187.96547213262,9036.74221057071,10677.0080407277,10905.1715648643,11298.8089685972,9333.1246034369,8229.63449392021,7985.26740383385
"N095010",5122.14018224566,5122.14018224566,5122.14018224566,5122.14018224566,5122.14018224566,5122.14018224566,5122.14018224566,5122.14018224566,5122.14018224566,5122.14018224566,5122.14018224566,5122.14018224566,5122.14018224566
"N095011",208.656431250119,199.153421661984,189.312967512084,274.053559826963,228.73584811262,357.319257357864,275.338267759255,311.667072547091,303.222259640941,428.427626340449,534.710406701343,497.147215082333,498.314331866929
"N095012",1050.58469587048,1046.34482233237,1043.19661054755,1040.0742310443,1038.37334140674,1034.78928817285,1030.94157114116,1026.74677589528,1049.21950563203,1042.53778837532,1038.62747331669,1045.66339927432,1045.209454026
"N095013",2504.473,2504.473,2504.473,2504.473,2504.473,2504.473,2504.473,2504.473,2504.473,2504.473,2504.473,2504.473,2504.473
"N095014",2436.17826175018,2436.17826175018,2436.17826175018,2436.17826175018,2436.17826175018,2436.17826175018,2436.17826175018,2436.17826175018,2436.17826175018,2436.17826175018,2436.17826175018,2436.17826175018,2436.17826175018
"N095015",4764.27715465032,4922.88100984964,5003.94681822224,4785.91929628916,4688.05629452029,4826.46758305761,4735.95237546025,4645.72961467,4580.44394020898,4762.83342703679,5031.85507384401,5543.84962434352,4674.722687375
"N095016",4820.00645197636,4977.65842263551,5057.27594151997,4834.79942925378,4736.28913237142,4871.05892793408,4777.77648493637,4685.18939908053,4696.07954279317,4966.57372326101,5081.99760389354,5594.86496064457,4719.91006950948
"N095017",12030.3821408425,12026.7287678036,12023.2245207436,12019.8632719907,12016.6391488815,12013.5465228937,12010.5799992622,12007.7344070554,12005.0047896893,12002.3863958594,11999.8746708712,11997.4652483488,11995.1539423068
"N095018",4322.98715598655,4318.02699108116,4313.27877378046,4308.733234736,4304.38152732622,4300.21520698173,4296.22621163155,4292.40684320114,4288.74975009818,4285.24791062625,4281.89461727073,4278.68346180529,4275.60832117046
"N095019",2695.41987562077,3343.54658213622,2533.02034514029,2913.50384270103,2445.17207879765,3925.28870301579,3252.88464467069,3413.5648802732,3737.87305978778,7904.67883609317,8883.5653863346,5325.701112258,3819.23353974253
"N095020",3995.20133029107,4262.15545620674,3900.8445760722,4089.70765334742,3052.8957269442,3933.42163590965,4197.43937656371,3956.87082324804,3022.87425229421,2973.64826414571,5197.70166958421,5213.05375629364,4562.38875703583
"N095021",2550.83480963309,2409.25499911433,2316.44827565663,2792.9870535114,3108.96453354851,2730.1832226358,2333.20809518959,2802.08589367761,3564.12099790207,3469.70413149972,3510.21470156964,2325.27873788854,1865.91896231351
"N095022",3304.1805575227,3542.47821561188,3613.17992212849,3788.08575951639,3575.10998663007,4010.67446009028,3981.45712869189,4000.24997402535,3596.48366568698,4424.04972024615,4594.2633338558,3971.53042818248,3584.38944880179
"N095023",762.26719783998,784.263682606432,773.935329904547,733.874681638982,470.945832820226,766.601923584681,723.201526081389,708.072472050206,386.898203635787,720.230862655974,1127.49632665939,959.363956104498,790.536284674144
"N095024",6424.43924176732,8120.04077320098,6668.61045812938,6838.83616803641,6046.82530833708,13821.9123550996,8208.22465324564,7812.86094235358,7387.03609376169,21286.9853410062,23197.9896419949,12618.6183846965,7565.05102600383
"N095025",1458.72089668004,1806.98153559333,2056.99019729982,2406.14360216706,2702.92165398625,3079.8867487466,2745.69411250582,2703.97033092586,2933.61959769299,3140.99422315088,3141.2340773569,2743.34102312809,2217.48636624823
"N095026",3339.79436877587,3793.12767683524,3852.27855294246,5035.13422281586,4908.28948953972,5826.26566725285,6106.82676997265,7381.43398044767,7900.23904973181,9115.2281243622,13260.1041237314,6900.72267455571,6249.44507293867
"N095027",2392.53742628608,2358.64045377261,2554.10147466211,3034.04100558154,3090.41985087205,3396.76754773445,3810.1661060705,3714.06615333801,3330.86338291054,3196.33546650283,3021.36397460424,2609.26109234784,2466.50966427854
"N095028",4359.28384140586,4079.46168753984,4358.24194639684,5052.30979672916,6283.59752481378,5443.66116929609,5377.50703024692,8669.24507509584,12798.8926793408,10765.2843612291,8562.95449289469,5143.38395167921,4706.58340996708
"N095029",991.230250679175,1167.89719771142,1030.79171907932,1074.29668377252,1037.60297636138,1530.82125151613,1319.00175176139,1261.05814999246,1075.36807367168,1638.15191547975,2128.98230999881,1331.32638738171,1029.20536253701
"N095030",3907.5180994893,4188.28375155391,3697.94653063413,4113.62975387455,4246.22378100701,4881.09021622294,4423.45750191641,5124.34738714486,7577.44782875679,5959.68896943372,7112.53924299455,5171.97094702373,4545.88321218942
"N095031",834.518805015502,952.159440924639,1081.98666727761,1288.29378283887,1558.27360704086,1809.40718057023,1617.57908175932,2073.24398713386,2250.40317125718,2048.95951910835,1862.14768103829,1354.57105949347,1245.0674879322
"N095032",5043.611500739,4835.16868320679,5767.08389971337,5674.17337119105,7715.12905050115,6342.52135175964,6245.33832438302,7363.69010650557,8804.48543231951,8507.7469413804,8068.81044578714,6365.56542017279,6265.76226952283
"N095033",1879.55929570212,1786.02283101249,2091.0325013989,2148.31505158594,3256.19814679819,2273.20370410233,2292.03124993532,2948.34570504305,3933.25928406097,4129.90116957029,2597.56738284563,2029.33858363214,2333.61502637761
"N095034",1751.81955947577,1671.68532372766,1827.95652201478,1596.01815276645,2396.90436861801,2083.18726294546,2210.61071623297,1753.05573850683,2012.75088530198,2970.14759940189,1986.90780836094,1618.64303508227,1648.97591764224
"N095035",1409.13425488407,1335.79500866296,1485.82561232034,1139.51647031897,2572.16959430093,2345.9270834549,1684.72238575,1307.35631924306,1256.83793061154,3129.94155129238,2547.89486383457,1670.47780859894,1831.10514568515
"N095036",16932.4937365014,15353.9415328922,14802.8495044461,15709.545535278,14233.28299709,13239.5744037554,14228.1581209324,16019.0480875057,17966.8673417744,16537.0640662944,14409.7946164062,14968.2137572941,17868.0919841999
"N095037",2904.14157548616,2909.54732917578,2918.99943929064,2910.67903870797,2930.34960592736,2937.34913908138,2932.46948617766,2927.89394803215,2925.20772448032,2925.61198418634,2931.35132991578,2910.62366765966,2913.24936084865
"N095038",3083.29431919063,3092.27759636981,3091.56976374002,3113.11924959857,3114.2726982389,3128.53430518453,3112.13279367606,3102.66046471097,3114.78339656945,3118.75035295425,3119.40845146557,3107.47487956141,3107.84522528506
"N095039",5842.33766785999,5846.16651961815,5849.13174557608,5851.42784133988,5853.20562149781,5854.58198118122,5855.6474957295,5856.4723293512,5857.1108243255,5857.60506257007,5857.98762799948,5858.2837480059,5858.51295300835
"N095040",5838.64691965063,5843.28507448227,5847.00499489357,5849.98804385431,5852.37991448922,5854.29759113063,5855.83497146193,5857.06740020198,5858.05532052821,5858.84721202629,5859.48195271745,5859.99071686851,5860.39849905469
"N095041",6201.48,6201.48,6201.48,6201.48,6201.48,6201.48,6201.48,6201.48,6201.48,6201.48,6201.48,6201.48,6201.48
"N095042",6209.94,6209.94,6209.94,6209.94,6209.94,6209.94,6209.94,6209.94,6209.94,6209.94,6209.94,6209.94,6209.94
"N095043",6205.71,6205.71,6205.71,6205.71,6205.71,6205.71,6205.71,6205.71,6205.71,6205.71,6205.71,6205.71,6205.71
"N095044",5835.35420252585,5841.4028680221,5846.55307889322,5850.937661682,5854.66997973049,5857.84673691998,5860.55039099591,5862.85122702483,5864.8091361008,5866.47513922335,5867.89269143004,5869.09879684314,5870.12496130423
"N095045",2931.26268468069,2931.26268468069,2931.26268468069,2931.26268468069,2931.26268468069,2931.26268468069,2931.26268468069,2931.26268468069,2931.26268468069,2931.26268468069,2931.26268468069,2931.26268468069,2931.26268468069
"N095046",3272.53248855856,3272.53248855856,3272.53248855856,3272.53248855856,3272.53248855856,3272.53248855856,3272.53248855856,3272.53248855856,3272.53248855856,3272.53248855856,3272.53248855856,3272.53248855856,3272.53248855856
"N095047",2929.92138896281,2929.92138896281,2929.92138896281,2929.92138896281,2929.92138896281,2929.92138896281,2929.92138896281,2929.92138896281,2929.92138896281,2929.92138896281,2929.92138896281,2929.92138896281,2929.92138896281
"N095048",2991.32112482631,2991.32112482631,2991.32112482631,2991.32112482631,2991.32112482631,2991.32112482631,2991.32112482631,2991.32112482631,2991.32112482631,2991.32112482631,2991.32112482631,2991.32112482631,2991.32112482631
"N095049",3225.91739792948,3225.91739792948,3225.91739792948,3225.91739792948,3225.91739792948,3225.91739792948,3225.91739792948,3225.91739792948,3225.91739792948,3225.91739792948,3225.91739792948,3225.91739792948,3225.91739792948
"N095050",3227.39992986161,3227.39992986161,3227.39992986161,3227.39992986161,3227.39992986161,3227.39992986161,3227.39992986161,3227.39992986161,3227.39992986161,3227.39992986161,3227.39992986161,3227.39992986161,3227.39992986161
"N095051",6560.70001739378,6560.70002864785,6560.70003611591,6560.70003718991,6560.70003019306,6560.69999969526,6560.70000104288,6560.70000239282,6560.70000374381,6560.70000509528,6560.70000644521,6560.70000778994,6560.70000913463
"N095052",7053.94694533009,7053.94694533088,7053.94694532955,7053.94694532963,7053.94694532752,7053.94694532494,7053.94694532509,7053.94694532303,7053.94694532516,7053.94694532523,7053.94694532621,7053.9469453287,7053.94694532807
"N095053",1908.62561586284,1908.62561585982,1908.62561585742,1908.62561586131,1908.6256158598,1908.62561585845,1908.6256158611,1908.62561586036,1908.62561586259,1908.62561585661,1908.62561585821,1908.62561585629,1908.62561585616
"N095054",2488.10314197406,2486.25004112014,2484.43968803737,2482.67109661001,2480.94330347027,2479.25536747354,2477.60636918576,2475.99541038262,2474.42161356023,2472.88412145718,2471.38209658758,2469.91472078484,2468.48119475606
"N095055",5029,5029,5029,5029,5029,5029,5029,5029,5029,5029,5029,5029,5029
"N095056",3036.13244292803,3089.10294013062,3135.60622500559,3181.0756666172,3227.78479088941,3277.40874688436,3328.42938865453,3374.9503305862,3414.11969553949,3454.70643603745,3490.50937471169,3520.02577854384,3531.20348690919
"N095057",2061.80264087271,1970.65584642072,1888.97396761526,1816.19861506796,1751.02446075905,1694.3548054144,1641.38210550867,1594.17607174249,1556.72951367875,1534.38661628691,1524.21063490822,1514.03625628682,1511.80756997052
"N095058",3534.10986469414,3719.80776949702,3647.83085270783,3691.02096081932,3718.50582668055,3751.9826369354,3746.09728393907,3755.79806367712,3762.22569703982,3768.87382810683,3769.3456442593,3771.7922357909,3773.53389048252
"N095059",2118.62080653489,1852.36476153859,2049.28630760071,2088.55393318223,1857.46409148153,1758.72145948683,1924.59958046761,1838.98569245175,1736.12284671511,1715.1472243807,1630.42159234942,1362.53854466561,1241.80492396638
"N095060",9040.22013169355,9041.76836379545,9042.16324603429,9042.26396218813,9042.28965021014,9042.29620203375,9042.29787310024,9042.29829931184,9042.29840801866,9042.29843574473,9042.29844281637,9042.29844462001,9042.29844508004
"N095061",10129.0105211378,11417.1858569208,11417.1858569208,10437.0005139839,10437.0005139839,10871.6641894725,10871.6641894725,11045.9729622518,11045.9729622518,10367.7286532334,10367.7286532334,10744.404680684,10744.404680684
"N095062",7212.43063316918,7091.25254070368,7090.4075350069,7079.21283049121,7079.99376592353,7152.58822662566,7159.05735645368,7262.50944680509,7270.27954949988,7525.43769539427,7533.07157487571,7597.69101149888,7604.78131792998
