"","f1","f2","f3","f4","f5","f6","f7","f8","f9","f10","f11","f12","f13"
"N095001",34654.4541023528,34183.2137759866,33766.2949462429,33390.6994208676,33049.7155796021,32738.2744596981,32452.2678160277,32188.2586472715,31952.093232158,31724.4105643067,31511.1366747705,31321.1355056645,31131.9874442687
"N095002",3388.08214703557,3341.29175033216,3300.53696876139,3263.8572114625,3230.05475313001,3198.58358007716,3169.08252524083,3141.28854488428,3114.99720489763,3090.04235439214,3066.284669674,3044.77811832944,3023.13574844954
"N095003",9704.5598625118,9825.99508116319,9794.74184165111,9623.77512728086,9599.71027917223,9850.20162940474,9888.70456014823,9737.41612738186,9657.82167491691,9894.57032780168,9904.18697368403,9799.28821892581,9652.22628656639
"N095004",1937.62822462206,1963.77707449606,2029.72541364325,2258.53620752504,2266.48716073937,2446.58094030711,2194.66080190632,3199.58270937986,2742.85295050618,2791.40816632265,3112.80994700764,3686.41333961398,4626.99530909507
"N095005",1168.62256869071,1129.95132842513,1228.43603553464,1283.3513185576,1183.30936405824,1321.9952176633,1511.13334179443,1479.88134542379,1295.87176693017,1040.05514597817,900.845797091503,823.557399988778,785.704827990408
"N095006",422.166528012018,462.131068261688,431.92269582378,508.816021984133,512.499692974142,623.027070549753,552.564026292238,635.985532454853,977.055788099313,906.913326965878,779.149804307003,624.64041922694,507.775313806962
"N095007",2183.74804539853,1822.38124794858,1869.21194511076,1239.45899513159,3053.48732757983,2021.73186953374,1990.52241120301,1416.32497778808,4079.01299279501,5053.53288071717,2271.64741471815,1545.33451969298,1695.93339528626
"N095008",2868.35425414105,3523.66051604748,4380.5092248388,4138.63615955681,5248.28335971525,4594.32225180341,4088.09216210943,3499.63064480184,4282.2963095678,4843.27510751353,3362.39870534413,2703.80008769343,2523.29953170696
"N095009",7043.33427017292,6953.19762939824,7891.09089628857,7469.83431175771,8696.7253579993,7248.43364796166,7053.24395094518,8659.29399203378,8857.38625827955,9214.6261215619,7214.63048476126,6083.90404811551,5808.36758565825
"N095010",4617.93099856283,4442.71953755853,4309.06219385462,4201.12477283982,4105.07881694949,4023.15802686615,3947.50216615064,3879.07685059271,3813.20997761533,3752.78424629475,3697.9066651504,3650.55541699337,3596.59654494483
"N095011",-107.12929239812,-204.924091454382,-255.009689416047,-206.560544822781,-285.777719710052,-191.474319953184,-298.92968119268,-288.895350409201,-322.590937400658,-218.76888876999,-134.285343974006,-191.05649567323,-210.730157718039
"N095012",1017.50199763591,1002.30480743064,991.893255173268,983.242803235571,977.188050216564,970.343561433631,963.799395854707,957.338316210044,977.346514081982,969.752932186896,964.385708302714,970.455684683688,969.002753200356
