"","f1","f2","f3","f4","f5","f6"
"N000001",7089.11569323192,7070.21438916955,7026.67213542946,7096.98423923834,7167.32219288103,7237.63372275752
"N000002",1600.8385379365,1588.64445780682,1580.77313293729,1579.51966110355,1578.72820281754,1577.62962130277
"N000003",8551.38129674359,8686.83847434003,8861.32691175063,9035.81537093435,9210.30391515592,9384.79252762747
"N000004",9895.88406036883,10139.2778043326,10381.8678997826,10624.2945068179,10866.7213175276,11109.1479917653
"N000005",6984.79451689134,7140.82479785886,7298.29066143142,7456.37887359468,7615.90098183338,7776.20628930322
"N000006",4658.91771808271,5339.74309808234,6040.21604438871,6762.57588314689,7503.83569361816,8267.98342199962
"N000007",4425.64867745514,5181.01665253524,5936.08193876016,6691.5308792756,7446.51376974384,8202.08325446359
"N000008",2411.83085005047,2421.43925460019,2430.81774910325,2440.43402958339,2449.80773091236,2459.43224803445
"N000009",2395.48514380123,2500.66605030592,2605.84502776448,2711.024309008,2816.20387770909,2921.38373646347
"N000010",2547.6680581422,2630.95074117502,2630.95330467451,2630.95588271472,2630.95847357643,2630.96107733258
"N000011",1535.2685013442,1595.19178722453,1655.10057525414,1715.02117071441,1774.95347330243,1834.89756506473
"N000012",2072.00183133586,2189.66411529351,2308.46020996153,2442.70801884264,2576.19614595421,2727.30972091307
"N000013",5238.60694230078,5426.16581727751,5620.93630025126,5822.67369125116,6031.65611431525,6248.15329031602
"N000014",5060.94753211464,4931.77895839237,5018.67270549803,5104.29108909233,5191.45256496688,5276.82902460646
"N000015",5521.41431437517,5616.78269928166,5797.70267922534,5876.37425971804,6081.96532617213,6134.98518525656
"N000016",2560.40587752809,2560.46851383546,2560.73637391199,2560.86668752824,2561.09919279039,2561.2664070468
"N000017",3828.98741820341,3767.52766125768,3847.45593176172,3927.05162722861,4007.05373962469,4086.58703315876
"N000018",3211.79139854354,3251.91776248884,3297.2334884043,3336.92120068119,3382.85370647888,3422.00224165197
"N000019",3399.44934322246,3458.42261492949,3517.39460597196,3576.36872707766,3635.3402727113,3694.31577343496
"N000020",6558.70996846074,6666.99936620908,6773.74085770168,6882.12574589026,6988.91643721712,7097.4006644879
"N000021",9564.32189682662,9819.79732801224,10046.5219612192,10304.633694624,10532.1021995142,10793.0665206707
"N000022",4659.26559785028,4850.55125988048,5038.36800534865,5231.04608914224,5417.09822643481,5612.37342005298
"N000023",11786.0877975352,13573.7889408632,15361.3818105378,17149.0810728875,18936.677071361,20724.3745635175
"N000024",9156.09560055812,9161.62320516214,9158.87068002032,9166.12575181356,9161.54634808488,9171.22754941077
"N000025",2419.61964625543,2452.48173576646,2468.88881768636,2505.45736933179,2517.94809828948,2559.82975764385
"N000026",7848.28866232264,8678.45551285351,8583.23016543081,10047.7692349276,9089.52826097386,12091.8479434477
"N000027",1979.84817810693,2165.47702216388,2348.79827457165,2535.14521499935,2717.6376071713,2905.15573830064
"N000028",2054.99382687533,2354.94299822239,2653.83829704755,2954.00752729733,3252.67628897712,3553.15243380691
"N000029",4623.27565464371,5074.06270672978,5551.29972365205,6054.99153888965,6585.13811926751,7141.73946643183
"N000030",4732.64292680808,5060.85884815046,5407.36481487713,5777.92860724849,6165.8984686887,6578.97751856904
"N000031",3704.52657834672,3607.08563439194,3609.22526668775,3611.36515687992,3613.5052720588,3615.64561279355
"N000032",5744.66670969617,6095.40329366534,6446.13968494651,6796.87609827312,7147.61253173215,7498.34898554475
"N000033",1326.70642890038,1394.64499636022,1462.1338952505,1530.11537455707,1597.57844011451,1665.60812673305
"N000034",1791.87504224426,1901.30028488835,2010.69408939484,2120.12153964367,2229.51391536369,2338.94378608129
"N000035",3581.09028589119,3845.73880540129,4128.20074106026,4428.56354678551,4746.82896158383,5083.0003786596
"N000036",1233.29361049159,1306.86442157917,1380.48768428761,1454.17515267017,1527.92260321968,1601.7430749692
"N000037",4373.88559652854,4805.32815027814,5261.17123999496,5742.44574504223,6248.01389920405,6779.13191542638
"N000038",-758.816679490601,-773.183452971314,-780.743687353015,-784.064566973302,-784.946345110763,-784.278506655329
"N000039",3882.44720250482,3936.26473377825,3990.09536754437,4043.94487244739,4097.8081706119,4151.69232550818
"N000040",4589.38487804654,4512.21951674562,4454.4797349429,4411.1199142772,4378.4698159899,4353.83316863569
"N000041",14304.0924203658,14210.7153445937,14258.0938145073,14388.4725083788,14521.1362852468,14655.5224318997
"N000042",5973.36536396457,6404.21677495365,6866.14496044081,7361.39144947254,7892.35944979771,8461.62550955118
"N000043",2952.00076739471,3080.38322306026,3210.57886649487,3342.19419189341,3475.78230530864,3610.89542374945
"N000044",10229.5953285863,10507.9223444149,10789.9694573705,11075.7345796153,11365.2199740887,11658.4229883513
"N000045",10165.2819718678,10329.5381273635,10493.8003729691,10658.0678750785,10822.3402175343,10986.6167975523
"N000046",6443.00000006389,6748.00000027007,7053.00000056634,7358.00000096297,7663.00000147016,7968.00000209586
"N000047",6453.53452459912,6760.90167229408,7068.26882008008,7375.6359679679,7683.00311596805,7990.37026408878
"N000048",6896.84087971629,6990.53858193713,6786.72115465913,6784.49697757438,6782.40415603868,6780.1787375283
"N000049",2512.21289562342,2531.81707724445,2563.95074234956,2586.4465015725,2608.94225273168,2631.43801214599
"N000050",18642.165470483,18777.0944496102,18969.8590546621,19162.1364650998,19354.8570449268,19547.3165101815
"N000051",8174.27438077976,8224.09534897333,8272.98458375647,8354.20175561065,8435.42298598893,8516.64664224032
"N000052",18804.3222218265,21033.9927358307,23528.0402660474,26317.8125861786,29438.3744455171,32928.9482990504
"N000053",25101.8014249007,34311.7204761203,46900.7838163971,64108.8086539786,87630.5044948,119782.37436076
"N000054",9388.17837341832,10568.0927063724,11896.2996875465,13391.4368645207,15074.4841678839,16969.058303947
"N000055",2914.02530181761,3313.9929121469,3768.85849749634,4286.15713722132,4874.45814592842,5543.50702852441
"N000056",13418.7667253226,16108.722528985,19337.9128520165,23214.4338447271,27868.050851983,33454.5422681118
"N000057",2180.66447243754,2324.47419055618,2463.92833639352,2606.46047382637,2752.08928846306,2900.83486565454
"N000058",10178.6139217226,10354.9348912864,10534.4785576886,10710.8526482887,10890.5214864088,11066.9523414526
"N000059",10008.2160110735,10027.2660924862,10067.1279870515,10135.9042598385,10204.5217904845,10272.9969819517
