"","f1","f2","f3","f4","f5","f6"
"N000001",6936.32434729224,6759.75121226225,6580.62505001676,6492.02881250752,6437.13340473295,6394.84108304675
"N000002",1200.20859017533,1043.53832619491,942.83620720696,876.430372280358,821.02098169493,771.9638608866
"N000003",8460.05924058798,8523.20893660055,8590.90075537879,8688.21207516799,8800.77209836689,8920.61477085466
"N000004",9696.34624949316,9868.60251449013,10024.5741716052,10167.4417708716,10296.1972287954,10413.4672973234
"N000005",6596.67853970155,6598.97826432608,6625.3685814116,6666.7193235781,6720.92078716647,6776.5851249289
"N000006",4395.95407628422,4721.35433125227,4929.8874906957,5045.8476014928,5065.34901975357,5029.32945917563
"N000007",4129.134728201,4477.73638946086,4699.39881249714,4813.56551616724,4803.40098435052,4714.14420615712
"N000008",2357.60344948713,2344.00577138107,2334.50373915716,2327.92479472421,2323.01871012598,2319.76591573913
"N000009",2353.09091988533,2405.45312172095,2445.54226659226,2476.55712366143,2498.11506969357,2512.49387885962
"N000010",2486.85696330884,2460.66856728103,2354.81331147928,2280.7392595185,2218.69786180444,2164.8260786147
"N000011",1436.12932576829,1446.10132725978,1456.05515058963,1466.34270266575,1475.21657311683,1484.50616353655
"N000012",1979.56299745363,2023.17687355999,2047.21886260935,2098.48163618875,2122.96433095746,2180.94214736547
"N000013",4779.04973319627,4897.63582233166,5001.92379608218,5102.83047635475,5203.88461173166,5302.98019846167
"N000014",4904.81009123151,4635.93595265787,4519.4411996775,4463.29358601764,4435.59790028355,4422.26030083995
"N000015",5219.20002243687,5224.38702209305,5267.39037584914,5306.84931270998,5369.18366498604,5419.67836984897
"N000016",2357.57623964554,2277.09917609593,2217.1245463505,2166.17981273822,2119.82231954727,2078.8943823827
"N000017",3701.84957656155,3535.29435705049,3444.89419350484,3401.45738508223,3386.30242184619,3380.51615238994
"N000018",3033.89511910341,3001.81713419083,2987.833566369,2977.15289808945,2973.53020890047,2972.7515781791
"N000019",3033.38389678407,2664.92845995675,2425.5643229148,2226.55511256222,2071.04073700041,1937.42563277501
"N000020",6224.09918324353,6193.51857889947,6194.89305270048,6210.33689226272,6240.15010897694,6276.19620798496
"N000021",8855.13523661047,8803.99246934854,8804.62489800682,8850.377838869,8904.49131104006,8989.23932130893
"N000022",3834.51211276214,3600.55606759096,3430.03648326408,3286.71279196945,3168.67942671102,3069.17497490402
"N000023",9628.71782771593,9464.92233574333,9319.32645329225,9176.12616824379,9015.20526683938,8849.5924564894
"N000024",7996.61553300879,7544.81877475499,7208.45874744514,6939.44074897581,6698.20307245199,6496.95955659758
"N000025",2184.17629564713,2108.12426426328,2051.05592483498,2004.45363002979,1965.17067385753,1932.25428682361
"N000026",6561.08522942869,6231.06932212192,5768.61748412878,5784.58481583179,4335.35830147407,5458.224469544
"N000027",1614.9187521782,1546.22135513268,1496.83398711752,1455.20880564617,1416.67692539029,1387.16290285118
"N000028",1652.77046349151,1612.76599487971,1582.51397059639,1557.4662891827,1528.80266523176,1507.38729867012
"N000029",4453.80311629689,4682.79979913639,4886.93577030085,5077.5068044083,5256.96271289353,5427.76513096986
"N000030",4543.73821370351,4677.72159571208,4776.4012482487,4915.86282806142,5013.97694664887,5166.04948998696
"N000031",3549.43131384547,3399.37072037812,3390.95351764322,3383.0206270895,3376.51744246336,3369.42093021091
"N000032",5630.68210203416,5840.49000150208,6019.04431529818,6172.71446638199,6302.81014012517,6404.74411688957
"N000033",1289.31910259656,1312.19319645958,1323.93697232057,1336.63064165496,1339.97186800722,1346.6545348192
"N000034",1747.20326758875,1801.44062750383,1842.39405159852,1872.62205568533,1895.23699899927,1907.95933959228
"N000035",3209.15537404303,3264.57655417507,3318.67015118172,3375.07688296394,3433.02221464227,3489.04778621453
"N000036",1207.55702051218,1248.77779423137,1283.40781922208,1312.43364371425,1335.74043110862,1353.97102293591
"N000037",4237.11672063425,4493.84343653203,4734.38274011015,4963.15495894392,5181.21970774106,5398.28853237394
"N000038",-2731.16623127756,-4413.15995477103,-5528.12232715147,-6401.87220892574,-7147.52062038022,-7842.93439582478
"N000039",3679.31100921811,3550.99768818131,3490.24449437414,3442.479676494,3418.31108752142,3398.22602545202
"N000040",4193.33286136585,3756.83471540861,3371.3665673529,3033.86333694731,2740.61848100097,2495.17805877853
"N000041",14061.1761112438,13717.2781702261,13509.3198331254,13409.545827109,13336.8193075375,13300.9473406082
"N000042",5738.38435512945,5978.3583567892,6215.62450665552,6444.10689481822,6669.9940331056,6884.76073635031
"N000043",2896.00292020971,2987.60115711581,3078.26984444873,3165.93919253545,3252.23779157148,3335.52551285718
"N000044",10001.1160472398,10048.5938819029,10070.519522003,10072.1764629928,10053.8907086281,10014.7873991643
"N000045",10025.9310949484,10080.5281172765,10123.5853226749,10153.5137623817,10174.2079003118,10182.6185878894
"N000046",6052.69585503652,5865.97287515791,5582.23777914452,5219.16225202708,4819.382586072,4388.93923789409
"N000047",6063.80513181468,5879.86518521489,5597.94755439085,5245.76740313839,4835.12247271831,4424.95321412595
"N000048",6510.16152416632,6418.03532373878,6119.6346163426,5968.59167732234,5844.78206909697,5727.85751645677
"N000049",2344.80409481401,2254.9120660456,2220.47278609633,2220.29941507659,2221.22024912519,2224.64343297783
"N000050",18183.2291148681,18038.5858410343,17937.8959829687,17909.6319584372,17909.2201309901,17934.7820009717
"N000051",8053.02238138858,8004.44151575199,7961.89457842493,7954.20854018313,7964.14327532573,7981.80583995654
"N000052",18120.8697956473,19362.4402873656,20489.3432453191,21496.264835555,22378.9502047143,23141.0189249825
"N000053",22875.7184769613,28514.3391676307,34972.7171066364,42244.6187973554,50273.4585373932,59114.238110789
"N000054",9057.83660803228,9911.94258896372,10814.3531416358,11759.7419143253,12753.0560943363,13784.2401482453
"N000055",2824.32281174141,3139.3528420781,3482.75767681646,3857.30819450043,4262.34720140646,4700.36181487907
"N000056",12899.2775223213,14870.71951832,17018.7340798253,19355.701644254,21884.275654012,24585.2107010007
"N000057",2153.00204344535,2257.17980910536,2345.08550568836,2442.07886564164,2544.23268913662,2647.77538745826
"N000058",9543.84488436009,9449.94618203177,9417.18015211506,9410.68118105338,9426.17078679259,9450.87580492949
"N000059",9839.34991680808,9686.11899198916,9550.21368780103,9450.26397362159,9366.75884171227,9292.72576791896
"N000060",9783.99531222272,9593.34993179206,9411.25625800819,9211.63003095861,8970.56507643198,8704.12098108465
"N000061",8743.69601702925,8267.98831237827,7923.22558642403,7640.98403540514,7405.90399564777,7200.15930637087
"N000062",7225.46032354055,6319.70294278692,5692.01671988355,5221.28151542366,4853.56552436824,4532.26117669283
"N000063",8984.78668419975,8871.73524302728,8890.2446253301,8983.54263118091,9125.43432390811,9319.83739972759
"N000064",12501.8922572337,12386.9779381897,12353.0538452973,12355.3901749962,12380.3321044823,12427.0493351654
"N000065",8908.46874073124,8344.92342924417,7934.19254798934,7603.29849598531,7329.87730220603,7081.98953974112
"N000066",10194.3068811125,10181.9213269481,10026.2488001133,9927.85030514246,9920.74088887044,9970.53093102795
"N000067",9329.48859359218,8614.70100028259,7838.5022468549,7010.92243530928,6139.22728498572,5229.01154087384
"N000068",9436.92543041712,9270.33249063443,9173.19507907457,9116.79061309678,9079.18725778692,9054.06928936649
"N000069",9893.67119629594,9983.68960795995,9994.39254848065,10085.3993547162,10208.0372505385,10355.2578230284
"N000070",9289.66340499917,8898.07345233231,8543.36384290461,8194.98109001933,7857.68707831845,7521.24313619131
"N000071",8217.95319010519,7001.83232320935,6092.27145286475,5390.79328814771,4857.01677944618,4417.56807540589
"N000072",9989.80103717509,10073.2916387416,10103.6238885861,10085.1100368567,10014.6952182386,9902.72079501642
"N000073",8810.49287143769,8458.4244310626,7764.92713303823,7209.59688200319,6746.38854288333,6315.28891533967
"N000074",9193.72837818353,8927.25149317019,8750.04459154127,8616.65949221625,8517.3517649076,8433.44322021769
"N000075",9910.51218059351,9884.9453992968,9738.71592838547,9654.73869852486,9600.03461972109,9569.15041550752
"N000076",9730.19026090341,9650.82835871809,9620.89285496224,9620.15132353392,9625.09781895515,9649.38416900072
