"","f1","f2","f3","f4","f5","f6"
"N000001",7243.30104771573,7379.13502701031,7470.46151760004,7689.52642871589,7886.88608979137,8067.68321705993
"N000002",2132.56227532878,2393.42063960692,2620.69277502135,2827.46966333538,3024.04464746974,3214.37471411437
"N000003",8647.4191050961,8863.38993614015,9139.20672481803,9385.74766412585,9621.7043044678,9852.07181748009
"N000004",10100.1559848099,10417.9441450158,10754.249138736,11107.0961222106,11475.1292897575,11860.1758404962
"N000005",7374.36383180754,7691.61068534653,7997.82702180213,8297.5961497793,8605.08164010087,8920.18080429138
"N000006",4903.45557002071,5929.98281509034,7124.54246063773,8526.91169365903,10174.379030732,12149.4901244322
"N000007",4734.15476865093,5944.09881702402,7351.80896550421,9018.79358498835,11018.0680750159,13434.2953621318
"N000008",2466.49228469767,2499.88124252997,2526.59981282318,2552.25382753504,2575.04738320294,2597.16036722001
"N000009",2437.85791390131,2595.44103279236,2764.05255266395,2941.8820959604,3128.54955252639,3323.73010054398
"N000010",2608.70226419609,2801.17434699744,2909.18425635368,2984.51772633035,3046.81871148254,3100.91589962287
"N000011",1580.59241550833,1684.73289090714,1795.91307944899,1912.77261646155,2036.08319599672,2163.19142861417
"N000012",2139.35711749884,2331.88006803327,2545.93406919483,2780.19408228958,3031.92719985821,3301.91308731302
"N000013",5604.68326303101,5812.67018665543,6030.97657617712,6255.95711810571,6487.98307062955,6731.49384398973
"N000014",5223.6486317162,5245.67172252027,5536.17570465311,5755.66883529596,5966.5129296501,6142.11135533233
"N000015",5840.09727230164,6027.738499436,6388.14522451063,6486.09786417347,6917.64052935838,6908.2035859835
"N000016",2769.73536806947,2857.43662735937,2925.32440155735,2983.86499729614,3034.56884503786,3085.68837352598
"N000017",3948.2257827909,3990.88883326022,4229.60841364937,4419.79301585095,4596.78546030026,4761.16223233116
"N000018",3384.1425696206,3495.80992925202,3597.54572902007,3683.33858452951,3774.30197191702,3849.63453989453
"N000019",3814.79233061037,4465.66602703421,5015.16489478114,5597.0000344324,6178.83022038453,6837.89181794197
"N000020",6896.10393109954,7143.31051265827,7359.73487869388,7560.94744538746,7751.43221253941,7929.43836110319
"N000021",10296.9255986427,10868.6606578567,11330.2512426646,11838.7686175299,12235.4102434771,12763.9254200197
"N000022",5894.2873418566,7335.03008274988,8823.32567621137,10345.3573575747,11886.5673910017,13459.3825362184
"N000023",13107.1211615607,16457.9571792584,20077.7599693683,23900.1764121701,27923.4696381064,32100.1778225657
"N000024",10419.5420897449,10971.5784128626,11389.5831641386,11790.0805031994,12117.9781456062,12458.4963637692
"N000025",2659.01451368042,2803.82941225094,2895.41418294753,3024.63360702293,3082.06739177734,3227.38915203676
"N000026",10023.5267442702,12738.2259028081,15685.3044669154,18867.5654348033,22241.7068512147,25823.0032568902
"N000027",2360.43890823283,2956.16300911849,3587.12832068814,4247.72328480203,4932.07546260998,5638.10640646229
"N000028",2298.73376525853,2875.47071327732,3492.49509939959,4141.09225664484,4819.45277362393,5519.63862307334
"N000029",4783.33329524957,5429.09870104882,6144.00933590849,6916.94692284485,7750.15780432378,8636.22777421855
"N000030",4854.66077110866,5329.64670295123,5855.06790978795,6423.93915007834,7041.74564218472,7695.0363376177
"N000031",3849.11260718967,3817.9704800803,3830.62343553031,3842.79613162074,3854.54904656493,3865.93093970281
"N000032",5860.1723006422,6352.96357614323,6880.4263126379,7429.91489962226,8006.49276406302,8604.17513838227
"N000033",1360.10909896849,1468.42494320584,1585.13451238639,1708.96365141561,1839.48715899128,1975.13013671124
"N000034",1836.98372321559,2002.22183904593,2179.33640920255,2366.93565229647,2564.20263430058,2767.91045674927
"N000035",3759.89845366911,4192.38601190336,4672.31574490349,5197.67755165669,5760.15122913523,6363.7308771869
"N000036",1259.35015522305,1365.39503594574,1478.21035465998,1597.197147996,1722.62460332419,1853.10586334239
"N000037",4510.15163413284,5112.32196707817,5775.48994817706,6504.01565308344,7289.00418060281,8125.74363108429
"N000038",1223.42084017466,2876.31668231681,3959.10287337816,4841.89637515217,5619.21819450451,6284.41054635483
"N000039",4093.92519255932,4327.01943239464,4499.48836061393,4650.78290802316,4793.4915256396,4925.90365262835
"N000040",5028.43905796986,5427.72699976847,5903.42301070183,6440.15741371458,7025.59519462101,7654.41792467005
"N000041",14549.29209953,14708.0590968137,14996.2631986579,15339.7659193409,15656.0817250383,15954.3743473652
"N000042",6220.09708838202,6865.4316285078,7592.10577740994,8417.02352867727,9355.93753406273,10426.1295447934
"N000043",3008.17870622864,3171.01086531347,3337.44152212803,3505.55541778805,3680.21984955504,3860.66065844327
"N000044",10431.8609864957,10860.1099980539,11282.6079906531,11712.2681202677,12163.8213526635,12632.3382436082
"N000045",10306.112177729,10578.8837411901,10866.8221021077,11166.6695976057,11475.4859956869,11803.7488620486
